"x"
"1" 17
"2" 19
"3" 17
"4" 13
"5" 5
"6" 17
"7" 13
"8" 3
"9" 4
"10" 20
"11" 17
"12" 12
"13" 6
"14" 3
"15" 11
"16" 14
"17" 17
"18" 12
"19" 7
"20" 8
"21" 10
"22" 18
"23" 15
"24" 17
"25" 10
"26" 18
"27" 2
"28" 4
"29" 15
"30" 8
"31" 19
"32" 15
"33" 16
"34" 16
"35" 14
"36" 18
"37" 19
"38" 7
"39" 20
"40" 9
"41" 6
"42" 6
"43" 13
"44" 2
"45" 10
"46" 19
"47" 4
"48" 5
"49" 18
"50" 7
"51" 10
"52" 8
"53" 19
"54" 12
"55" 18
"56" 4
"57" 1
"58" 5
"59" 19
"60" 20
"61" 12
"62" 18
"63" 1
"64" 4
"65" 2
"66" 6
"67" 16
"68" 8
"69" 9
"70" 13
"71" 19
"72" 19
"73" 12
"74" 11
"75" 6
"76" 8
"77" 7
"78" 9
"79" 9
"80" 18
